-8.61,-0.46,2.41,-2.14,4.92,-4.82,-7.80,1.22,5.66,4.86,3.23,4.68,3
-8.86,-0.57,2.15,-2.37,5.11,-3.69,-7.73,1.24,5.66,4.43,4.37,2.72,3
-8.93,-0.59,2.15,-3.06,3.31,-2.34,-7.90,1.32,5.85,-0.75,4.78,0.22,3
-8.80,-0.53,2.24,-3.10,2.63,-1.24,-7.81,1.35,5.98,-4.44,2.80,-1.40,3
-8.89,-0.61,2.22,-3.20,0.04,0.08,-7.60,1.43,6.09,-2.53,-0.11,0.39,3
-8.78,-0.53,2.12,-2.05,-0.22,-0.32,-7.70,1.38,5.93,-1.31,-2.49,-0.64,3
-8.94,-0.55,1.96,-1.56,-0.36,-0.81,-7.65,1.36,5.91,2.08,-4.55,-1.81,3
-9.04,-0.45,1.95,-1.76,-2.05,-1.05,-7.77,1.42,5.72,4.37,-3.76,-2.29,3
-8.85,-0.34,2.23,-2.08,-2.45,-1.51,-7.74,1.35,5.61,-1.83,-1.19,-1.74,3
-8.98,-0.45,2.21,-2.63,-2.69,-0.97,-7.70,1.38,5.64,-0.60,-0.52,-1.67,3
-8.90,-0.44,2.21,-3.05,-2.15,-1.37,-7.68,1.43,5.64,-0.02,0.30,-1.63,3
-8.89,-0.46,2.25,-4.14,-1.07,-2.07,-7.73,1.41,5.70,-0.50,1.17,-0.72,3
-8.83,-0.50,2.20,-3.95,-1.25,-2.08,-7.75,1.38,5.75,-0.09,1.21,0.37,3
-9.00,-0.48,2.10,-3.75,-1.26,-2.18,-7.79,1.47,5.84,0.62,1.02,0.98,3
-9.01,-0.53,2.19,-3.26,-2.12,-2.37,-7.78,1.39,5.76,0.19,0.97,1.63,3
-8.91,-0.56,2.23,-3.14,-1.92,-2.39,-7.78,1.33,5.86,0.95,0.18,1.45,3
-8.73,-0.44,2.11,-2.15,-2.86,-1.98,-7.81,1.25,5.79,0.11,-0.59,0.62,3
-9.01,-0.52,2.24,-2.02,-2.95,-1.93,-7.78,1.09,5.76,1.17,-0.69,-0.39,3
-8.99,-0.56,2.30,-1.90,-2.44,-1.65,-7.84,1.25,5.81,0.37,-0.56,-1.87,3
-8.66,-0.39,2.30,-1.42,-3.17,-1.47,-7.79,1.29,5.70,-0.31,-0.27,-2.94,3
-8.83,-0.45,2.34,-2.38,-1.76,-1.92,-7.80,1.32,5.68,0.26,-0.37,-3.09,3
-8.72,-0.46,2.28,-2.27,-1.70,-1.68,-7.82,1.35,5.64,-0.05,-0.80,-2.93,3
-8.74,-0.51,2.32,-2.01,-2.02,-1.71,-7.79,1.38,5.74,1.21,-0.65,-1.55,3
-8.87,-0.51,2.31,-1.86,-2.05,-1.93,-7.78,1.37,5.61,1.66,-0.33,0.04,3
-8.94,-0.53,2.33,-2.28,-1.38,-2.04,-7.83,1.28,5.72,1.69,0.15,-0.05,3
-8.71,-0.42,2.22,-2.31,-1.28,-2.04,-7.76,1.22,5.57,2.11,0.49,-0.02,3
-8.76,-0.48,2.31,-3.27,-1.29,-2.12,-7.98,1.71,5.78,2.40,1.15,0.94,3
-9.15,-0.41,2.02,-5.70,-2.53,-1.82,-9.51,5.30,3.91,75.84,12.86,30.80,3
-8.57,-0.53,2.79,-5.79,-3.35,0.09,-12.72,12.01,3.66,20.86,125.12,250.13,3
-8.87,-0.57,2.61,-5.15,-2.56,-0.44,-10.67,11.04,1.78,68.24,149.08,250.13,3
-8.60,-0.54,2.95,-3.18,0.71,1.66,-8.04,9.15,2.68,58.10,159.36,250.13,3
-8.70,-0.68,2.26,1.40,2.89,4.14,-6.97,7.32,5.45,3.46,130.18,250.13,3
-8.36,-1.17,2.18,8.33,10.14,-5.85,-5.20,7.89,3.84,-145.63,-48.29,241.08,3
-9.08,-1.27,2.52,16.81,13.04,-4.97,-1.61,6.81,-0.45,-94.60,12.24,194.08,3
-9.70,-0.12,2.07,17.62,6.50,-9.90,0.69,10.72,0.95,-117.11,18.73,160.89,3
-9.86,0.70,2.21,14.52,5.24,-8.84,1.56,3.17,0.74,-38.35,37.31,110.26,3
-8.89,0.84,2.27,-22.66,19.34,8.96,1.69,4.25,-4.12,129.31,24.02,27.67,3
-8.59,0.40,0.86,-29.90,19.48,7.53,3.11,2.84,0.25,5.13,21.74,35.87,3
-6.95,0.21,1.08,-34.67,-11.86,2.21,3.70,5.59,2.64,89.07,4.81,4.45,3
-6.76,-0.75,0.55,-30.83,0.14,-0.90,2.61,7.71,5.84,68.72,62.49,-22.60,3
-7.90,-2.91,1.26,13.66,-18.74,-16.19,4.00,16.43,15.61,19.18,-51.17,-12.03,3
-13.51,-2.73,5.55,13.44,16.94,-24.55,10.20,15.76,7.32,-20.21,-117.94,14.52,3
-10.99,-0.38,3.23,29.45,-22.84,-8.21,10.89,18.05,-11.07,-87.85,-1.79,-15.03,3
-11.12,-0.18,1.85,3.97,27.90,0.67,2.16,9.16,-3.06,-153.74,92.28,21.23,3
-4.09,-0.17,2.07,-8.14,12.77,-18.66,0.56,-0.17,-1.33,-81.85,-145.88,185.85,3
-5.02,-0.38,0.97,1.37,24.41,-16.47,1.65,-5.92,-8.11,-56.24,-93.37,102.37,3
-8.57,0.25,0.94,-4.56,-18.78,-9.89,6.26,-3.04,-8.99,114.21,13.84,-31.71,3
-13.72,0.74,1.98,4.27,-13.26,1.37,5.73,13.15,3.96,76.60,143.21,-86.92,3
-10.98,-1.20,1.61,-19.95,15.64,4.67,9.32,17.64,19.62,-34.34,49.95,-9.40,3
